iso1,iso2,WBID,agreement,entry_year
ABW,AUT,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,BEL,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,BGR,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,CYP,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,CZE,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,DEU,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,DNK,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,ESP,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,EST,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,FIN,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,FRA,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,GRC,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,HRV,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,HUN,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,IRL,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,ITA,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,LTU,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,LUX,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,LVA,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,MLT,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,NLD,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,POL,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,PRT,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,ROU,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,SVK,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,SVN,4,EU – Overseas Countries and Territories (OCT),1971.0
ABW,SWE,4,EU – Overseas Countries and Territories (OCT),1971.0
AFG,BGD,275,South Asian Free Trade Agreement (SAFTA) - Accession of  Afghanistan,2011.0
AFG,BGD,136,South Asian Free Trade Agreement (SAFTA),2006.0
AFG,BTN,275,South Asian Free Trade Agreement (SAFTA) - Accession of  Afghanistan,2011.0
AFG,BTN,136,South Asian Free Trade Agreement (SAFTA),2006.0
AFG,IND,180,India - Afghanistan,2003.0
AFG,IND,136,South Asian Free Trade Agreement (SAFTA),2006.0
AFG,IND,275,South Asian Free Trade Agreement (SAFTA) - Accession of  Afghanistan,2011.0
AFG,LKA,275,South Asian Free Trade Agreement (SAFTA) - Accession of  Afghanistan,2011.0
AFG,LKA,136,South Asian Free Trade Agreement (SAFTA),2006.0
AFG,MDV,136,South Asian Free Trade Agreement (SAFTA),2006.0
AFG,MDV,275,South Asian Free Trade Agreement (SAFTA) - Accession of  Afghanistan,2011.0
AFG,NPL,136,South Asian Free Trade Agreement (SAFTA),2006.0
AFG,NPL,275,South Asian Free Trade Agreement (SAFTA) - Accession of  Afghanistan,2011.0
AFG,PAK,136,South Asian Free Trade Agreement (SAFTA),2006.0
