iso3,name,region,income_group,overall_centrality,nn_centrality,n_centrality,ed_centrality,ing_centrality,n_partners,n_agreements,avg_enforceable,max_enforceable,overall_rank,nn_rank,n_rank,ed_rank,ing_rank
GBR,United Kingdom,ECA,Developed,0.1773092378960591,0.18567634401552477,0.21697579236584547,0.18358125267238626,0.09382378360600623,98,94,133.0744680851064,489,1,1,1,1,60
CAN,Canada,NAM,Developed,0.16147923501877925,0.1519314221258069,0.1590748485629955,0.1673374969481103,0.03847131417955855,51,15,309.46666666666664,548,2,2,3,2,118
VNM,Vietnam,EAP,Developing,0.15356420281214125,0.14364484989265303,0.12631576465476593,0.14522260248052754,0.17715074586275728,83,16,198.6875,545,3,3,10,5,1
JPN,Japan,EAP,Developed,0.14852732777663336,0.139332124868081,0.06867648330074864,0.15275063907793798,0.030770969923008044,49,19,261.89473684210526,545,4,18,86,3,127
PER,Peru,LAC,Developing,0.14287433480892117,0.12655458409057338,0.07460726293919046,0.13421156934822973,0.1588318317076538,85,22,223.5909090909091,545,5,34,75,34,2
SGP,Singapore,EAP,Developed,0.14220055175993224,0.12685778547432197,0.1001479127708947,0.14594900690566862,0.03486879291671447,94,28,207.32142857142858,545,6,33,35,4,120
KOR,South Korea,EAP,Developed,0.13694325910979338,0.12908677095657595,0.16542108982462633,0.14085260758427745,0.041216410055629156,87,22,243.36363636363637,400,7,32,2,6,110
DNK,Denmark,ECA,Developed,0.13453219305201808,0.14141574381868247,0.07058718609746811,0.13783661421099397,0.11266615093523034,114,57,180.96491228070175,438,8,4,81,7,14
PRT,Portugal,ECA,Developed,0.13453219305201805,0.14141574381868247,0.07228677119243894,0.1378366142109939,0.11266615093523034,114,55,181.65454545454546,438,9,4,80,8,14
SWE,Sweden,ECA,Developed,0.134022739962207,0.14073078169138037,0.07347613836386142,0.13730083099365825,0.11266615093523034,114,55,180.5818181818182,438,10,16,77,10,14
AUT,Austria,ECA,Developed,0.134022739962207,0.1407307816913804,0.08266171326923423,0.1373008309936583,0.11266615093523034,114,55,180.5818181818182,438,10,15,68,9,14
IRL,Ireland,ECA,Developed,0.13379138719425,0.1407466436817814,0.06985325156907027,0.13705437600781953,0.11266615093523034,114,56,180.60714285714286,438,12,7,84,19,14
GRC,Greece,ECA,Developed,0.13379138719424996,0.1407466436817814,0.086508034433659,0.13705437600781972,0.11266615093523034,114,55,180.96363636363637,438,13,7,60,11,14
LUX,Luxembourg,ECA,Developed,0.13379138719424996,0.14074664368178139,0.0742417691995875,0.13705437600781964,0.11266615093523034,114,57,180.19298245614036,438,13,11,76,12,14
ITA,Italy,ECA,Developed,0.13379138719424996,0.1407466436817814,0.07596725681914414,0.13705437600781958,0.11266615093523034,114,57,180.19298245614036,438,13,7,73,15,14
FRA,France,ECA,Developed,0.13379138719424993,0.14074664368178139,0.07260978781015412,0.13705437600781964,0.11266615093523034,114,57,180.19298245614036,438,16,11,79,12,14
BEL,Belgium,ECA,Developed,0.13379138719424993,0.14074664368178144,0.07007333754993851,0.13705437600781958,0.11266615093523034,114,57,180.19298245614036,438,16,6,82,15,14
