iso3,eci_score,eci_rank,year
JPN,2.087755,1.0,2012
ESH,1.982658,2.0,2012
TWN,1.739252,3.0,2012
SGS,1.676015,4.0,2012
KOR,1.641567,5.0,2012
WLF,1.590137,6.0,2012
GBR,1.503556,7.0,2012
CHE,1.500688,8.0,2012
USA,1.498868,9.0,2012
AIA,1.418931,10.0,2012
CYM,1.366387,11.0,2012
FIN,1.354934,12.0,2012
CZE,1.352623,13.0,2012
SWE,1.339664,14.0,2012
MSR,1.30735,15.0,2012
FRA,1.301111,16.0,2012
NIU,1.296654,17.0,2012
DEU,1.29448,18.0,2012
SVN,1.293496,19.0,2012
SGP,1.269265,20.0,2012
ISR,1.268331,21.0,2012
ATA,1.258224,22.0,2012
AUT,1.251387,23.0,2012
NOR,1.22666,24.0,2012
HUN,1.209429,25.0,2012
ITA,1.205665,26.0,2012
ATG,1.201002,27.0,2012
SMR,1.189354,28.0,2012
CHN,1.16916,29.0,2012
MLT,1.168432,30.0,2012
DNK,1.140664,31.0,2012
GIB,1.123929,32.0,2012
SVK,1.117558,33.0,2012
SHN,1.108078,34.0,2012
HKG,1.102442,35.0,2012
BVT,1.097839,36.0,2012
AND,1.080024,37.0,2012
IRL,1.06837,38.0,2012
CCK,1.05987,39.0,2012
POL,1.033306,40.0,2012
NFK,1.026377,41.0,2012
BEL,0.9983006,42.0,2012
EST,0.9844875,43.0,2012
HMD,0.9800153,44.0,2012
MYS,0.9733701,45.0,2012
NLD,0.9722743,46.0,2012
CAN,0.9310237,47.0,2012
ESP,0.9069539,48.0,2012
NTZ,0.8970937,49.0,2012
CXR,0.8925716,50.0,2012
ASM,0.8731432,51.0,2012
BLR,0.8663415,52.0,2012
HRV,0.8360571,53.0,2012
THA,0.828404,54.0,2012
ATF,0.8245054,55.0,2012
ROU,0.8115439,56.0,2012
ABW,0.8057093,57.0,2012
LTU,0.8048867,58.0,2012
BRB,0.7924248,59.0,2012
MEX,0.7847992,60.0,2012
PCN,0.7710651,61.0,2012
KNA,0.7612625,62.0,2012
IOT,0.7493473,63.0,2012
CYP,0.7442312,64.0,2012
LVA,0.7406554,65.0,2012
PRT,0.7246431,66.0,2012
BMU,0.7091126,67.0,2012
BRN,0.6933643,68.0,2012
MAC,0.6825776,69.0,2012
VGB,0.6745852,70.0,2012
NRU,0.6681821,71.0,2012
TKL,0.6221094,72.0,2012
BGR,0.5997725,73.0,2012
ISL,0.5981181,74.0,2012
MNP,0.589256,75.0,2012
UKR,0.554319,76.0,2012
BHS,0.5372868,77.0,2012
NZL,0.5343874,78.0,2012
PAN,0.4869591,79.0,2012
TUR,0.4771291,80.0,2012
STP,0.4687173,81.0,2012
GUM,0.463403,82.0,2012
ARE,0.4548535,83.0,2012
TCA,0.4133958,84.0,2012
BIH,0.402039,85.0,2012
PHL,0.4017078,86.0,2012
TUN,0.3711977,87.0,2012
ARM,0.3613743,88.0,2012
RUS,0.3567078,89.0,2012
BTN,0.3418055,90.0,2012
AUS,0.3160425,91.0,2012
DMA,0.2900862,92.0,2012
IND,0.2697022,93.0,2012
TUV,0.2605911,94.0,2012
LBN,0.2587664,95.0,2012
GRC,0.2386749,96.0,2012
MUS,0.2216921,97.0,2012
GRD,0.1923056,98.0,2012
JOR,0.1898286,99.0,2012
LCA,0.1665594,100.0,2012
COL,0.121003,101.0,2012
MHL,0.1099886,102.0,2012
MDA,0.1064809,103.0,2012
WSM,0.0915548,104.0,2012
BRA,0.0869361,105.0,2012
NCL,0.0856697,106.0,2012
COK,0.0638696,107.0,2012
ZAF,0.0637402,108.0,2012
CRI,0.0606561,109.0,2012
SLV,0.05757,110.0,2012
NPL,0.0486182,111.0,2012
PYF,0.0266453,112.0,2012
SAU,0.0252639,113.0,2012
PRK,0.0229055,114.0,2012
URY,0.0146179,115.0,2012
ARG,0.0058602,116.0,2012
SYC,-0.0391968,117.0,2012
BHR,-0.0496605,118.0,2012
VNM,-0.0532691,119.0,2012
MKD,-0.059048,120.0,2012
OMN,-0.0860971,121.0,2012
SYR,-0.0942231,122.0,2012
VCT,-0.1018423,123.0,2012
KWT,-0.103486,124.0,2012
PLW,-0.1077066,125.0,2012
KAZ,-0.1203217,126.0,2012
TON,-0.1253915,127.0,2012
QAT,-0.1539512,128.0,2012
TTO,-0.1610028,129.0,2012
FJI,-0.1650843,130.0,2012
IDN,-0.2108172,131.0,2012
DJI,-0.2204296,132.0,2012
COM,-0.2255493,133.0,2012
EGY,-0.2290178,134.0,2012
DOM,-0.2373825,135.0,2012
KGZ,-0.2692383,136.0,2012
CPV,-0.2933946,137.0,2012
GEO,-0.2961482,138.0,2012
CHL,-0.3434491,139.0,2012
PSE,-0.3481882,140.0,2012
GTM,-0.3525089,141.0,2012
JAM,-0.368354,142.0,2012
ALB,-0.3831598,143.0,2012
GRL,-0.3857755,144.0,2012
CAF,-0.4027582,145.0,2012
LKA,-0.4224365,146.0,2012
PAK,-0.4465372,147.0,2012
PER,-0.4593975,148.0,2012
KEN,-0.4728576,149.0,2012
UGA,-0.479242,150.0,2012
BDI,-0.5045319,151.0,2012
TGO,-0.5243809,152.0,2012
SLE,-0.5651961,153.0,2012
UZB,-0.5884916,154.0,2012
RWA,-0.5895581,155.0,2012
SEN,-0.5902046,156.0,2012
KIR,-0.5984797,157.0,2012
BLZ,-0.5986438,158.0,2012
MAR,-0.6051649,159.0,2012
HND,-0.6075193,160.0,2012
PRY,-0.6697695,161.0,2012
CUB,-0.6715985,162.0,2012
FSM,-0.7156799,163.0,2012
BOL,-0.724346,164.0,2012
LBR,-0.751123,165.0,2012
AFG,-0.7791966,166.0,2012
TCD,-0.7942896,167.0,2012
SOM,-0.8093688,168.0,2012
SPM,-0.8513116,169.0,2012
MLI,-0.8978157,170.0,2012
TZA,-0.9095153,171.0,2012
ECU,-0.9142051,172.0,2012
IRN,-0.9150619,173.0,2012
VEN,-0.919168,174.0,2012
GUY,-0.9285642,175.0,2012
BFA,-0.9398549,176.0,2012
FLK,-0.9403639,177.0,2012
BGD,-0.9913256,178.0,2012
AZE,-0.9958427,179.0,2012
KHM,-0.9963155,180.0,2012
HTI,-1.010192,181.0,2012
ZWE,-1.017185,182.0,2012
BEN,-1.049768,183.0,2012
MDG,-1.050126,184.0,2012
VUT,-1.063653,185.0,2012
GMB,-1.091938,186.0,2012
ERI,-1.138881,187.0,2012
SLB,-1.145755,188.0,2012
NIC,-1.155259,189.0,2012
CMR,-1.179112,190.0,2012
NER,-1.188442,191.0,2012
MDV,-1.235513,192.0,2012
ETH,-1.250891,193.0,2012
CIV,-1.26526,194.0,2012
TJK,-1.275378,195.0,2012
SUR,-1.307575,196.0,2012
ZMB,-1.336272,197.0,2012
DZA,-1.361147,198.0,2012
MMR,-1.369471,199.0,2012
GHA,-1.379017,200.0,2012
LAO,-1.385397,201.0,2012
GNQ,-1.43895,202.0,2012
MNG,-1.486571,203.0,2012
YEM,-1.57248,204.0,2012
MWI,-1.644737,205.0,2012
MRT,-1.676114,206.0,2012
COG,-1.729612,207.0,2012
TKM,-1.755448,208.0,2012
MOZ,-1.756283,209.0,2012
PNG,-1.868386,210.0,2012
GAB,-1.925855,211.0,2012
COD,-1.932224,212.0,2012
NGA,-1.970518,213.0,2012
AGO,-2.095407,214.0,2012
TMP,-2.180869,215.0,2012
LBY,-2.298837,216.0,2012
GNB,-2.341476,217.0,2012
GIN,-2.372022,218.0,2012
IRQ,-2.578765,219.0,2012
