iso1,iso2,weight
ABW,AUT,74.0
ABW,BEL,74.0
ABW,BGR,74.0
ABW,CYP,74.0
ABW,CZE,74.0
ABW,DEU,74.0
ABW,DNK,74.0
ABW,ESP,74.0
ABW,EST,74.0
ABW,FIN,74.0
ABW,FRA,74.0
ABW,GRC,74.0
ABW,HRV,74.0
ABW,HUN,74.0
ABW,IRL,74.0
ABW,ITA,74.0
ABW,LTU,74.0
ABW,LUX,74.0
ABW,LVA,74.0
ABW,MLT,74.0
ABW,NLD,74.0
ABW,POL,74.0
ABW,PRT,74.0
ABW,ROU,74.0
ABW,SVK,74.0
ABW,SVN,74.0
ABW,SWE,74.0
AUT,AIA,74.0
AUT,ALB,170.0
AUT,AND,39.0
AUT,ARM,299.0
AUT,ATG,283.0
AUT,BEL,160.0
AUT,BGR,151.0
AUT,BHS,283.0
AUT,BIH,196.0
AUT,BLZ,283.0
AUT,BMU,74.0
AUT,BRB,283.0
AUT,BWA,136.0
AUT,CAN,432.0
AUT,CHE,201.0
AUT,CHL,262.0
AUT,CIV,86.0
AUT,CMR,118.0
AUT,COL,355.0
AUT,COM,84.0
AUT,CRI,352.0
AUT,CYM,74.0
AUT,CYP,152.0
AUT,CZE,152.0
AUT,DEU,160.0
AUT,DMA,283.0
AUT,DNK,160.0
AUT,DOM,283.0
AUT,DZA,153.0
AUT,ECU,355.0
AUT,EGY,141.0
AUT,ESP,160.0
AUT,EST,152.0
AUT,FIN,160.0
AUT,FJI,101.0
AUT,FRA,160.0
AUT,FRO,69.0
AUT,GBR,409.0
AUT,GEO,332.0
AUT,GHA,77.0
AUT,GRC,160.0
AUT,GRD,283.0
AUT,GRL,74.0
AUT,GTM,352.0
AUT,GUY,283.0
AUT,HND,352.0
AUT,HRV,150.0
AUT,HTI,283.0
AUT,HUN,152.0
AUT,IRL,160.0
AUT,ISL,201.0
AUT,ISR,135.0
AUT,ITA,160.0
AUT,JAM,283.0
AUT,JOR,169.0
AUT,JPN,422.0
AUT,KNA,283.0
AUT,KOR,344.0
AUT,LBN,106.0
AUT,LCA,283.0
AUT,LIE,201.0
AUT,LSO,136.0
AUT,LTU,152.0
AUT,LUX,160.0
AUT,LVA,152.0
AUT,MAR,131.0
AUT,MDA,358.0
AUT,MDG,84.0
AUT,MEX,104.0
AUT,MKD,157.0
AUT,MLT,152.0
AUT,MNE,182.0
AUT,MOZ,136.0
AUT,MSR,74.0
AUT,MUS,84.0
AUT,NAM,136.0
AUT,NCL,74.0
AUT,NIC,352.0
AUT,NLD,160.0
AUT,NOR,201.0
AUT,PAN,352.0
AUT,PCN,74.0
AUT,PER,355.0
AUT,PNG,101.0
AUT,POL,152.0
AUT,PRT,160.0
AUT,PSE,117.0
AUT,PYF,74.0
AUT,ROU,151.0
AUT,SGP,354.0
AUT,SLB,101.0
AUT,SLV,352.0
AUT,SMR,30.0
AUT,SPM,74.0
AUT,SRB,197.0
AUT,SUR,283.0
AUT,SVK,152.0
AUT,SVN,152.0
AUT,SWE,160.0
AUT,SWZ,136.0
AUT,SYC,84.0
AUT,SYR,32.0
AUT,TCA,74.0
AUT,TTO,283.0
AUT,TUN,136.0
AUT,TUR,119.0
AUT,UKR,397.0
AUT,VCT,283.0
AUT,VNM,438.0
AUT,WLF,74.0
AUT,WSM,101.0
AUT,ZAF,136.0
AUT,ZWE,84.0
BEL,AIA,74.0
BEL,ALB,170.0
BEL,AND,39.0
BEL,ARM,299.0
BEL,ATG,283.0
BEL,BGR,151.0
BEL,BHS,283.0
BEL,BIH,196.0
BEL,BLZ,283.0
BEL,BMU,74.0
BEL,BRB,283.0
BEL,BWA,136.0
BEL,CAN,432.0
BEL,CHE,69.0
BEL,CHL,262.0
BEL,CIV,86.0
BEL,CMR,118.0
BEL,COL,355.0
BEL,COM,84.0
BEL,CRI,352.0
BEL,CYM,74.0
BEL,CYP,152.0
BEL,CZE,152.0
BEL,DEU,167.0
BEL,DMA,283.0
BEL,DNK,167.0
BEL,DOM,283.0
BEL,DZA,153.0
BEL,ECU,355.0
BEL,EGY,141.0
BEL,ESP,167.0
BEL,EST,152.0
BEL,FIN,160.0
BEL,FJI,101.0
BEL,FRA,167.0
BEL,FRO,69.0
BEL,GBR,409.0
BEL,GEO,332.0
BEL,GHA,77.0
BEL,GRC,167.0
BEL,GRD,283.0
BEL,GRL,74.0
BEL,GTM,352.0
BEL,GUY,283.0
BEL,HND,352.0
BEL,HRV,150.0
BEL,HTI,283.0
BEL,HUN,152.0
BEL,IRL,167.0
BEL,ISL,182.0
BEL,ISR,135.0
BEL,ITA,167.0
BEL,JAM,283.0
BEL,JOR,169.0
BEL,JPN,422.0
BEL,KNA,283.0
BEL,KOR,344.0
BEL,LBN,106.0
BEL,LCA,283.0
BEL,LIE,182.0
BEL,LSO,136.0
BEL,LTU,152.0
BEL,LUX,167.0
BEL,LVA,152.0
BEL,MAR,131.0
BEL,MDA,358.0
BEL,MDG,84.0
BEL,MEX,104.0
BEL,MKD,157.0
BEL,MLT,152.0
BEL,MNE,182.0
BEL,MOZ,136.0
BEL,MSR,74.0
BEL,MUS,84.0
BEL,NAM,136.0
BEL,NCL,74.0
BEL,NIC,352.0
BEL,NLD,167.0
BEL,NOR,182.0
BEL,PAN,352.0
BEL,PCN,74.0
BEL,PER,355.0
BEL,PNG,101.0
BEL,POL,152.0
BEL,PRT,167.0
BEL,PSE,117.0
BEL,PYF,74.0
BEL,ROU,151.0
BEL,SGP,354.0
BEL,SLB,101.0
BEL,SLV,352.0
BEL,SMR,30.0
BEL,SPM,74.0
BEL,SRB,197.0
BEL,SUR,283.0
BEL,SVK,152.0
BEL,SVN,152.0
BEL,SWE,160.0
BEL,SWZ,136.0
BEL,SYC,84.0
BEL,SYR,32.0
BEL,TCA,74.0
BEL,TTO,283.0
BEL,TUN,136.0
BEL,TUR,119.0
BEL,UKR,397.0
BEL,VCT,283.0
BEL,VNM,438.0
BEL,WLF,74.0
BEL,WSM,101.0
BEL,ZAF,136.0
BEL,ZWE,84.0
BGR,AIA,74.0
BGR,ALB,170.0
BGR,AND,39.0
BGR,ARM,299.0
BGR,ATG,283.0
BGR,BHS,283.0
BGR,BIH,196.0
BGR,BLZ,283.0
BGR,BMU,74.0
BGR,BRB,283.0
BGR,BWA,136.0
BGR,CAN,432.0
BGR,CHE,69.0
BGR,CHL,262.0
BGR,CIV,86.0
BGR,CMR,118.0
BGR,COL,355.0
BGR,COM,84.0
BGR,CRI,352.0
BGR,CYM,74.0
BGR,CYP,151.0
BGR,CZE,151.0
BGR,DEU,151.0
BGR,DMA,283.0
BGR,DNK,151.0
BGR,DOM,283.0
BGR,DZA,153.0
BGR,ECU,355.0
BGR,EGY,141.0
BGR,ESP,151.0
BGR,EST,151.0
BGR,FIN,151.0
BGR,FJI,101.0
BGR,FRA,151.0
BGR,FRO,69.0
BGR,GBR,409.0
BGR,GEO,332.0
BGR,GHA,77.0
BGR,GRC,151.0
BGR,GRD,283.0
BGR,GRL,74.0
BGR,GTM,352.0
BGR,GUY,283.0
BGR,HND,352.0
BGR,HRV,150.0
BGR,HTI,283.0
BGR,HUN,151.0
BGR,IRL,151.0
BGR,ISL,182.0
BGR,ISR,135.0
BGR,ITA,151.0
BGR,JAM,283.0
BGR,JOR,169.0
BGR,JPN,422.0
BGR,KNA,283.0
BGR,KOR,344.0
BGR,LBN,106.0
BGR,LCA,283.0
BGR,LIE,182.0
BGR,LSO,136.0
BGR,LTU,151.0
BGR,LUX,151.0
BGR,LVA,151.0
BGR,MAR,131.0
BGR,MDA,358.0
BGR,MDG,84.0
BGR,MEX,104.0
BGR,MKD,163.0
BGR,MLT,151.0
BGR,MNE,182.0
BGR,MOZ,136.0
BGR,MSR,74.0
BGR,MUS,84.0
BGR,NAM,136.0
BGR,NCL,74.0
BGR,NIC,352.0
BGR,NLD,151.0
BGR,NOR,182.0
BGR,PAN,352.0
BGR,PCN,74.0
BGR,PER,355.0
BGR,PNG,101.0
BGR,POL,151.0
BGR,PRT,151.0
BGR,PSE,117.0
BGR,PYF,74.0
BGR,ROU,151.0
BGR,SGP,354.0
BGR,SLB,101.0
BGR,SLV,352.0
BGR,SMR,30.0
BGR,SPM,74.0
BGR,SRB,197.0
BGR,SUR,283.0
BGR,SVK,151.0
BGR,SVN,151.0
BGR,SWE,151.0
BGR,SWZ,136.0
BGR,SYC,84.0
BGR,SYR,32.0
BGR,TCA,74.0
BGR,TTO,283.0
BGR,TUN,136.0
BGR,TUR,119.0
BGR,UKR,397.0
BGR,VCT,283.0
BGR,VNM,438.0
BGR,WLF,74.0
BGR,WSM,101.0
BGR,XKX,163.0
BGR,ZAF,136.0
BGR,ZWE,84.0
CYP,AIA,74.0
CYP,ALB,170.0
CYP,AND,39.0
CYP,ARM,299.0
CYP,ATG,283.0
CYP,BHS,283.0
CYP,BIH,196.0
CYP,BLZ,283.0
CYP,BMU,74.0
CYP,BRB,283.0
CYP,BWA,136.0
CYP,CAN,432.0
CYP,CHE,69.0
