iso3,tariff_mean,trade_pct_gdp,rule_of_law,regulatory_quality,govt_effectiveness,control_corruption
ARE,,185.741660982819,64.0194293,71.5429018,73.3741309,68.5486955
ARG,11.95,31.5801792606256,51.9503978,45.7273179,53.451823,40.9679996
AUS,2.01,45.6946418805752,82.2979363,83.2556593,85.7080678,82.8487082
AUT,1.95,123.579578652902,85.2240691,76.9614999,85.1211403,75.5418927
BEL,1.95,191.179031303786,80.0237604,77.0684112,76.8196093,79.7844434
BGD,12.89,33.7799672705735,40.2076588,40.2892485,39.2181042,24.0032436
BGR,1.95,138.844877241238,55.2470323,58.7677262,49.9067134,45.0830509
BRA,13.29,38.8160659764321,49.3948665,51.7253658,46.7668678,38.6190444
CAN,1.83,67.3176215563989,82.8712609,80.6051381,86.4805807,81.2937211
CHE,3.16,138.500698753519,87.5885942,82.6520571,90.7446251,90.2596865
CHL,1.03,75.2016177425303,69.7653654,67.9183786,68.3609589,71.0373983
CHN,5.36,37.440719876366,47.2602075,53.4303195,61.6310064,48.7299338
COL,3.55,48.2826551123359,47.8491027,57.8029206,51.3712487,42.6648919
CYP,1.95,205.753543745524,70.1175877,66.425314,69.8303144,59.2971423
Czechia,1.95,144.011494109397,76.5724051,75.8062102,74.5789641,64.112328
DEU,1.95,88.7857542130501,84.1757238,79.523299,85.9365,84.7431984
DNK,1.95,131.995824909071,91.4261629,86.7303352,92.1406221,94.4556494
"Egypt, Arab Rep.",,36.9831048772713,43.6640534,44.3195704,48.5516052,32.1137471
ESP,1.95,78.4657338703054,73.4979264,68.0777898,73.5436342,63.6771189
EST,1.95,175.68711950524,83.1610479,79.1667514,77.7596927,80.1544972
FIN,1.95,94.5625340522667,91.2817565,84.9743909,88.2297958,92.1730581
FRA,1.95,75.9630077981996,74.5113529,74.8750592,79.8021859,75.9023965
GBR,1.13,69.1989264413981,79.3292982,80.87291,76.4866596,80.9553454
"Hong Kong SAR, China",0.0,384.881143223724,72.1820236,82.0461664,83.2935774,78.7925293
HRV,1.95,125.410877974694,64.4429262,59.5836638,65.266939,50.0161882
HUN,1.95,185.000204092698,61.1404022,59.4086263,64.1294133,48.6697861
IDN,5.82,45.4646701959453,54.7424954,59.296523,55.8672272,40.36113
IND,10.06,50.0752701498882,55.0631273,53.4803007,57.9369129,41.9344499
IRL,1.95,237.755419559378,82.8500677,82.7232745,84.5079207,81.1797592
ISR,3.16,60.6448526742952,70.7509398,72.5639326,80.9687007,65.8259602
ITA,1.95,72.0165023032697,66.8431119,64.3443586,65.2987922,59.4705879
JPN,1.99,46.8129868368938,82.9264987,77.1114908,90.8264358,77.0417965
KAZ,4.75,68.3343147415612,49.3810257,53.8525157,54.4581171,43.9682585
"Korea, Rep.",5.73,90.5851475278549,77.0360701,70.9067427,80.2050057,64.4874887
LTU,1.95,175.651612151093,78.1051508,73.5563003,69.679071,65.1627159
LUX,,412.177169924175,87.0446706,84.3104046,89.5582268,87.6782432
LVA,1.95,159.892778190649,74.3265529,69.9885637,65.4871192,64.5316679
MEX,2.69,88.7984855867186,38.3383975,52.3971353,49.640729,30.1282206
MYS,5.43,146.424604753908,62.0469295,65.2051438,66.618172,55.3650278
NGA,11.9,,39.7570843,39.1494195,30.7911243,23.0571866
NLD,1.95,184.107484252682,86.7204829,82.0427251,85.6594208,86.6695427
NOR,2.57,82.6094798361389,90.3692278,79.6713091,86.7536233,89.0101199
NZL,2.27,53.4761627655817,86.6018582,84.205121,83.5496532,90.0036271
PAK,10.97,33.031353478032,41.2878353,42.7921461,38.0780236,28.7069653
PER,1.1,57.2969759649721,48.5787659,55.992677,49.6189517,34.8686443
PHL,3.94,72.4296836107599,46.0841106,54.9385089,52.0364364,36.1659708
POL,1.95,123.021332860345,63.0667016,65.6980685,61.3624514,61.3638697
PRT,1.95,101.364146479435,76.338565,67.6155815,71.2121173,63.7659063
ROU,1.95,93.9496509383447,64.4553816,61.0724244,55.2104413,49.1951187
Russian Federation,,42.7827864294811,38.8098571,40.795601,47.2828965,32.2120461
SAU,5.96,56.8241647749332,57.6414938,63.6030924,61.3410999,53.4564616
SGP,0.05,332.34956775484,81.5399907,87.1812874,94.1426523,89.0057518
Slovak Republic,1.95,204.056318531151,67.1566049,66.3156805,66.8181382,55.4957092
SWE,1.95,107.111751826512,86.879293,80.476847,88.5743205,88.8546204
THA,8.26,132.858712082871,52.3485261,56.6541981,55.7638453,39.6776827
Turkiye,7.48,79.8982722314341,43.5432566,51.2488229,50.8583854,39.101218
UKR,2.09,87.3965139907244,44.1890986,48.3605632,38.9508053,34.014237
USA,2.72,27.3139397355363,75.0674875,77.8706056,79.9489163,72.192362
Viet Nam,3.71,183.153619147836,51.1673005,49.3869152,49.331569,42.8756812
ZAF,7.31,64.94713440234,57.5516367,53.8802608,51.3101517,44.545875
